Date,Username,Comment
15:38:35,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:37,Leonel José Tijerino sanchez,viva los emigrantes
15:38:38,HHH,TRUMP
15:38:39,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:41,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:42,Vidyullatha,Kamala Harris the future of America
15:38:43,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart:
15:38:45,sanjay verma,kamala the comedian
15:39:08,CalebTheGamer,get out of here spirits and stop spamming blue hearts
15:39:11,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:14,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:17,Leonel José Tijerino sanchez,afuera los americanos los emigrantes mandamos
15:39:20,Spirits ,Respect women vote:sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:23,sanjay verma,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:39:45,Spirits ,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:47,sanjay verma,red is good and energetic
15:39:49,D-BO,319 HARRIS WINS
15:39:51,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:53,ERA time,"Joe biden & his puppet is destroy gaza,ukarine,Bangladesh & India-us & india-Canada partnerships also support conadian khalistani terriest"
15:39:54,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:56,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:39:58,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:40:00,sanjay verma,:horse: get out
15:40:25,Nandhini Raghavan,"Trump asks are Americans better off today then they were 4 years ago? CACKLING KAMALA replies, ""I was born in a middle class family with carpenter as my neighbour"" That's her level! :face_vomiting::rolling_on_the_floor_laughing:"
15:40:29,sanjay verma,donkey will be exported:face_with_tears_of_joy::face_with_tears_of_joy:
15:40:34,abc xyz,Kamala is going to create history. 
15:40:38,Spirits ,100% She will win new this from day one.Truth hurts some times time to grow up:sparkles::blue_heart::sparkles:
15:40:59,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:00,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:02,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:03,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart:
15:41:04,abc xyz,First black South Asian woman President of America :partying_face:
15:41:05,hgjh sfhgjh,:red_heart:
15:41:06,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:41:07,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:09,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:41:10,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:11,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:12,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:41:13,Pamela Andrews,Trump is the only option. Kamala only talked about Trump rather than giving any policies. 
15:41:14,ERA time,"American pet puppy :dog: ""trodo"" & Also 1st joker zelensky :clown_face:& 2nd jokes trudeau:clown_face: they are destroy own country"
15:41:15,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:17,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:41:18,sanjay verma,all these fake letiest polls
15:41:19,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart:
15:41:41,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:41:44,John Samuel [Official],"She don't even care about her indian origin, Trump 2024 for sure"
15:41:46,hgjh sfhgjh,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
15:41:49,Jesus is Lord,Jesus
15:41:51,John Samuel [Official],Trump 2024 for sure
15:41:54,Balasubramanian Narasimmalu,fake news?
15:41:56,sanjay verma,:red_heart::red_heart::red_heart::elephant::elephant::elephant::elephant:
15:41:59,Vidyullatha,Kamala Harris - the future of America
15:42:20,abc xyz,Be ready for the new generation of leadership under President Kamala Harris :blue_heart:
15:42:22,ERA time,indian support Trump
15:42:24,CalebTheGamer,kamala will not win it's all a lie wake up people it's all a lie
15:42:26,Spirits ,It’s ok truth is truth it’s ok all will be well when she walks through the White House doors:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:42:27,zooknut,Trump  24
15:42:29,wiil siwanaag yre,:blue_heart::blue_heart:
15:42:31,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:42:32,Balasubramanian Narasimmalu,trumper
15:42:34,zooknut,kaml :smiling_face_with_horns:
15:42:36,sanjay verma,:goat::goat::goat::goat:
15:42:37,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:42:39,sanjay verma,donkey democrat
15:43:01,zooknut,kamla :smiling_face_with_horns: :clown_face:
15:43:02,sanjay verma,:face_with_tears_of_joy::face_with_tears_of_joy:
15:43:04,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:43:05,CalebTheGamer,keep talking spirits your cracking me up :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
15:43:07,wiil siwanaag yre,:blue_heart::blue_heart::blue_heart::blue_heart:
15:43:08,ERA time,Abki bar Trump sarkar :heart_on_fire:
15:43:10,abc xyz,Kamala Harris will create history
15:43:11,Spirits ,tr:nauseated_face:mp
15:43:13,ERA time,Abki bar Trump sarkar :heart_on_fire:
15:43:15,zooknut,uh oh!! here come the Trump Train!! :train2: :eyes:
15:43:16,Pamela Andrews,:red_heart::red_heart::red_heart::face_blowing_a_kiss:
15:43:18,sanjay verma,kamala is joker and her supporter are more joker
15:43:19,ERA time,Abki bar Trump sarkar :heart_on_fire:
15:43:41,Wikiloj,jackel and jackal....crackering....
15:43:42,zooknut,MAGA 3 inevitable
